mode,clicks,seed,lastWin
no-shop,3,1,46
no-shop,3,2,54
no-shop,3,3,64
no-shop,3,4,49
no-shop,3,5,74
no-shop,3,6,89
no-shop,3,7,39
no-shop,3,8,44
no-shop,3,9,84
no-shop,3,10,69
no-shop,3,11,51
no-shop,3,12,50
no-shop,5,1,58
no-shop,5,2,54
no-shop,5,3,74
no-shop,5,4,49
no-shop,5,5,112
no-shop,5,6,89
no-shop,5,7,39
no-shop,5,8,44
no-shop,5,9,84
no-shop,5,10,74
no-shop,5,11,51
no-shop,5,12,57
shop,3,1,109
shop,3,2,300
shop,3,3,168
shop,3,4,183
shop,3,5,213
shop,3,6,139
shop,3,7,123
shop,3,8,194
shop,3,9,233
shop,3,10,273
shop,3,11,247
shop,3,12,300
shop,5,1,109
shop,5,2,300
shop,5,3,168
shop,5,4,183
shop,5,5,213
shop,5,6,139
shop,5,7,123
shop,5,8,194
shop,5,9,233
shop,5,10,273
shop,5,11,247
shop,5,12,300
level,time,power,cooldown
1,3,0.25,4.5
5,4.92,0.522,4.1459236
10,6.9626994,1.0569999,3.9488027
25,12.679941,2.8298776,3.6532178
50,22.122957,6.657,3.403624
100,41.789955,17.910984,3.1370227
250,108.044846,81.31057,2.768479
500,239.51831,286.5976,2.4830995
1000,566.45715,1071.7098,2.1949115
